age,gender,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,Cluster,Cluster_Description
59,Female,89,6,3,Home & Garden,318.74,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
18,Other,38,8,7,Sports,442.42,1,Khách hàng thông thường - Chi tiêu trung bình
63,Female,26,1,26,Home & Garden,386.51,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
50,Male,58,2,3,Electronics,687.32,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
33,Female,11,4,42,Electronics,990.34,1,Khách hàng thông thường - Chi tiêu trung bình
47,Male,17,7,8,Home & Garden,997.15,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
47,Male,54,3,49,Home & Garden,678.41,1,Khách hàng thông thường - Chi tiêu trung bình
68,Other,3,1,36,Sports,743.73,1,Khách hàng thông thường - Chi tiêu trung bình
25,Male,27,1,32,Clothing,648.79,1,Khách hàng thông thường - Chi tiêu trung bình
35,Other,40,3,15,Sports,333.55,1,Khách hàng thông thường - Chi tiêu trung bình
61,Other,33,8,1,Sports,165.39,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
51,Male,96,3,42,Groceries,992.17,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
64,Male,72,2,11,Groceries,192.17,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
59,Female,47,6,6,Groceries,246.07,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
51,Female,3,7,30,Sports,145.66,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
49,Male,92,10,25,Groceries,522.78,0,Khách hàng thông thường - Chi tiêu trung bình
24,Male,6,1,28,Clothing,445.3,1,Khách hàng thông thường - Chi tiêu trung bình
33,Male,43,1,40,Groceries,785.52,1,Khách hàng thông thường - Chi tiêu trung bình
46,Other,35,8,49,Electronics,537.23,0,Khách hàng thông thường - Chi tiêu trung bình
35,Male,27,7,40,Electronics,570.08,0,Khách hàng thông thường - Chi tiêu trung bình
27,Female,50,5,17,Home & Garden,117.03,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
53,Other,73,6,35,Home & Garden,701.61,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
19,Male,9,10,28,Sports,864.57,1,Khách hàng thông thường - Chi tiêu trung bình
56,Other,2,10,32,Home & Garden,849.56,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
53,Female,87,8,23,Home & Garden,409.35,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
50,Other,71,9,28,Groceries,372.69,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
37,Female,87,2,50,Groceries,646.4,1,Khách hàng thông thường - Chi tiêu trung bình
69,Male,32,3,6,Home & Garden,42.19,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
46,Other,2,9,22,Home & Garden,230.66,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
52,Other,69,10,19,Sports,321.92,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
41,Other,72,3,24,Groceries,897.46,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
26,Female,31,7,9,Groceries,667.8,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
69,Male,54,6,24,Sports,846.68,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
38,Female,57,5,3,Home & Garden,301.59,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
30,Female,16,1,2,Electronics,122.7,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
48,Male,41,9,17,Groceries,116.19,0,Khách hàng thông thường - Chi tiêu trung bình
62,Other,58,6,24,Sports,921.21,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
34,Male,72,7,13,Electronics,274.88,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
37,Male,33,8,40,Home & Garden,424.07,0,Khách hàng thông thường - Chi tiêu trung bình
28,Male,17,5,17,Home & Garden,765.53,1,Khách hàng thông thường - Chi tiêu trung bình
43,Female,26,1,33,Home & Garden,836.5,1,Khách hàng thông thường - Chi tiêu trung bình
69,Other,22,1,3,Home & Garden,839.2,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
43,Female,71,7,49,Sports,625.26,0,Khách hàng thông thường - Chi tiêu trung bình
38,Male,98,8,35,Clothing,738.01,0,Khách hàng thông thường - Chi tiêu trung bình
41,Female,75,2,33,Groceries,553.35,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
30,Other,29,3,3,Home & Garden,536.52,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
69,Female,4,7,9,Groceries,443.22,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
57,Male,80,3,33,Electronics,934.98,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
43,Male,9,5,24,Sports,531.25,1,Khách hàng thông thường - Chi tiêu trung bình
58,Female,96,6,31,Groceries,723.66,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
40,Male,64,6,15,Clothing,583.95,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
33,Female,23,6,12,Sports,373.49,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
50,Other,28,2,39,Home & Garden,839.34,1,Khách hàng thông thường - Chi tiêu trung bình
43,Male,62,10,18,Home & Garden,78.52,0,Khách hàng thông thường - Chi tiêu trung bình
45,Female,30,5,15,Electronics,998.09,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
60,Other,97,8,9,Electronics,793.84,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
22,Male,47,1,49,Groceries,292.92,1,Khách hàng thông thường - Chi tiêu trung bình
60,Other,31,1,14,Clothing,122.12,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
56,Female,87,7,8,Sports,291.96,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
48,Female,19,1,18,Clothing,311.08,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
51,Other,25,5,22,Groceries,847.03,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
64,Female,88,1,16,Groceries,330.95,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
22,Other,75,1,4,Clothing,456.11,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
27,Female,84,6,15,Groceries,268.76,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
18,Male,35,2,6,Sports,739.27,1,Khách hàng thông thường - Chi tiêu trung bình
45,Other,67,2,46,Groceries,524.16,1,Khách hàng thông thường - Chi tiêu trung bình
19,Female,75,10,23,Home & Garden,866.23,0,Khách hàng thông thường - Chi tiêu trung bình
67,Male,56,4,6,Clothing,151.74,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
22,Male,2,10,22,Electronics,469.36,0,Khách hàng thông thường - Chi tiêu trung bình
22,Male,3,7,46,Electronics,737.44,0,Khách hàng thông thường - Chi tiêu trung bình
21,Other,3,4,25,Home & Garden,676.93,1,Khách hàng thông thường - Chi tiêu trung bình
20,Male,64,7,46,Clothing,129.9,0,Khách hàng thông thường - Chi tiêu trung bình
42,Other,73,10,43,Groceries,787.66,0,Khách hàng thông thường - Chi tiêu trung bình
41,Male,28,10,48,Electronics,594.96,0,Khách hàng thông thường - Chi tiêu trung bình
57,Other,26,1,17,Groceries,610.98,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
22,Male,57,2,24,Electronics,683.02,1,Khách hàng thông thường - Chi tiêu trung bình
68,Other,72,6,33,Sports,983.84,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
51,Other,83,1,19,Clothing,30.88,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
49,Female,47,5,16,Home & Garden,241.25,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
57,Other,6,6,44,Home & Garden,312.64,1,Khách hàng thông thường - Chi tiêu trung bình
57,Female,86,10,40,Home & Garden,727.15,0,Khách hàng thông thường - Chi tiêu trung bình
63,Male,18,9,31,Sports,191.8,0,Khách hàng thông thường - Chi tiêu trung bình
42,Female,54,1,31,Clothing,484.72,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
35,Male,70,1,28,Groceries,304.08,1,Khách hàng thông thường - Chi tiêu trung bình
25,Female,99,10,32,Home & Garden,472.4,0,Khách hàng thông thường - Chi tiêu trung bình
60,Other,68,9,26,Sports,600.21,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
51,Female,27,3,45,Home & Garden,412.76,1,Khách hàng thông thường - Chi tiêu trung bình
45,Female,61,5,41,Home & Garden,246.41,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
51,Male,68,1,18,Sports,863.54,1,Khách hàng thông thường - Chi tiêu trung bình
59,Other,63,2,22,Groceries,329.18,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
47,Female,93,2,21,Groceries,11.01,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
61,Male,22,6,12,Clothing,678.13,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
62,Other,100,1,5,Home & Garden,439.63,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
50,Female,70,5,6,Clothing,241.99,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
58,Other,70,9,23,Electronics,374.59,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
26,Other,70,7,28,Sports,679.69,1,Khách hàng thông thường - Chi tiêu trung bình
60,Male,38,2,28,Groceries,940.14,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
29,Male,2,2,19,Groceries,437.1,1,Khách hàng thông thường - Chi tiêu trung bình
33,Other,92,6,10,Sports,486.86,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
60,Other,77,3,31,Clothing,581.15,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
22,Other,19,7,39,Sports,20.52,1,Khách hàng thông thường - Chi tiêu trung bình
66,Other,5,1,48,Sports,546.06,1,Khách hàng thông thường - Chi tiêu trung bình
24,Female,92,5,29,Home & Garden,320.7,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
63,Other,25,8,40,Sports,758.1,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
27,Male,3,5,2,Home & Garden,140.52,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
53,Male,34,1,26,Sports,952.12,1,Khách hàng thông thường - Chi tiêu trung bình
32,Male,96,9,49,Electronics,77.45,0,Khách hàng thông thường - Chi tiêu trung bình
64,Other,57,3,7,Home & Garden,97.97,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
48,Male,32,2,7,Electronics,535.1,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
52,Female,1,10,46,Home & Garden,720.52,0,Khách hàng thông thường - Chi tiêu trung bình
57,Female,46,8,3,Home & Garden,442.46,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
55,Female,39,2,6,Home & Garden,207.44,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
33,Other,23,7,3,Sports,609.8,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
64,Female,87,2,5,Groceries,344.59,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
64,Male,77,6,26,Sports,71.97,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
25,Male,100,4,41,Electronics,355.45,0,Khách hàng thông thường - Chi tiêu trung bình
62,Other,19,1,13,Home & Garden,427.68,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
59,Other,27,8,30,Sports,95.96,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
27,Female,49,8,12,Groceries,831.05,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
55,Other,68,3,30,Groceries,628.34,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
66,Female,93,3,19,Electronics,684.88,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
54,Male,9,7,30,Clothing,932.68,0,Khách hàng thông thường - Chi tiêu trung bình
38,Male,100,10,22,Electronics,99.63,0,Khách hàng thông thường - Chi tiêu trung bình
55,Male,72,10,47,Electronics,438.97,0,Khách hàng thông thường - Chi tiêu trung bình
18,Other,83,6,32,Sports,236.83,1,Khách hàng thông thường - Chi tiêu trung bình
26,Male,23,7,22,Groceries,844.88,1,Khách hàng thông thường - Chi tiêu trung bình
49,Other,83,4,38,Electronics,564.48,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
36,Female,74,6,19,Groceries,135.23,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
28,Other,82,5,2,Home & Garden,271.17,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
60,Other,84,7,28,Electronics,678.42,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
66,Male,73,7,47,Home & Garden,666.62,0,Khách hàng thông thường - Chi tiêu trung bình
58,Male,51,3,27,Clothing,344.39,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
68,Male,73,4,2,Sports,136.03,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
20,Male,56,2,28,Groceries,240.93,1,Khách hàng thông thường - Chi tiêu trung bình
53,Other,22,6,42,Home & Garden,536.06,1,Khách hàng thông thường - Chi tiêu trung bình
39,Female,41,9,3,Groceries,12.45,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
46,Other,11,7,17,Home & Garden,869.05,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
28,Male,43,10,25,Clothing,557.04,0,Khách hàng thông thường - Chi tiêu trung bình
35,Male,43,2,5,Electronics,746.74,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
42,Other,8,8,44,Groceries,316.5,0,Khách hàng thông thường - Chi tiêu trung bình
59,Male,6,8,26,Home & Garden,36.76,0,Khách hàng thông thường - Chi tiêu trung bình
31,Other,32,9,11,Sports,562.47,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
18,Male,84,3,24,Electronics,413.27,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
47,Male,53,2,38,Groceries,129.08,1,Khách hàng thông thường - Chi tiêu trung bình
48,Other,2,3,26,Clothing,748.46,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
51,Male,17,1,50,Home & Garden,302.81,1,Khách hàng thông thường - Chi tiêu trung bình
43,Female,76,1,50,Home & Garden,106.48,1,Khách hàng thông thường - Chi tiêu trung bình
64,Other,23,5,24,Clothing,351.94,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
37,Male,84,3,37,Home & Garden,785.53,1,Khách hàng thông thường - Chi tiêu trung bình
56,Female,3,9,25,Home & Garden,666.01,0,Khách hàng thông thường - Chi tiêu trung bình
54,Male,64,9,1,Clothing,371.93,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
36,Male,69,7,21,Sports,651.8,1,Khách hàng thông thường - Chi tiêu trung bình
54,Female,100,1,25,Electronics,30.51,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
47,Other,76,5,34,Electronics,880.18,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
65,Male,81,5,38,Clothing,594.92,0,Khách hàng thông thường - Chi tiêu trung bình
59,Male,80,7,37,Groceries,406.6,0,Khách hàng thông thường - Chi tiêu trung bình
60,Other,40,10,8,Groceries,190.34,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
21,Other,34,3,32,Sports,256.98,1,Khách hàng thông thường - Chi tiêu trung bình
62,Other,37,5,17,Sports,150.62,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
45,Other,38,3,9,Groceries,663.25,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
41,Other,7,10,50,Electronics,556.1,0,Khách hàng thông thường - Chi tiêu trung bình
29,Female,54,8,45,Groceries,915.62,0,Khách hàng thông thường - Chi tiêu trung bình
51,Male,43,9,36,Sports,593.92,0,Khách hàng thông thường - Chi tiêu trung bình
44,Male,20,4,8,Electronics,209.75,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
30,Male,89,9,22,Sports,630.37,0,Khách hàng thông thường - Chi tiêu trung bình
60,Other,68,1,40,Groceries,296.76,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
60,Female,69,9,32,Groceries,894.95,0,Khách hàng thông thường - Chi tiêu trung bình
26,Female,37,9,44,Clothing,100.64,0,Khách hàng thông thường - Chi tiêu trung bình
38,Female,59,6,4,Groceries,174.22,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
61,Female,76,9,42,Clothing,957.5,0,Khách hàng thông thường - Chi tiêu trung bình
23,Female,96,2,12,Home & Garden,231.03,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
60,Male,71,9,45,Groceries,725.67,0,Khách hàng thông thường - Chi tiêu trung bình
66,Female,1,9,33,Groceries,654.48,0,Khách hàng thông thường - Chi tiêu trung bình
26,Other,91,2,44,Sports,660.05,1,Khách hàng thông thường - Chi tiêu trung bình
49,Other,4,10,5,Electronics,287.36,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
58,Other,92,10,14,Home & Garden,628.3,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
46,Female,80,6,25,Sports,350.08,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
23,Female,16,2,42,Groceries,626.05,1,Khách hàng thông thường - Chi tiêu trung bình
61,Other,79,8,40,Sports,724.23,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
68,Female,28,3,33,Groceries,40.89,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
58,Female,14,4,21,Home & Garden,733.63,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
41,Male,79,5,44,Clothing,942.03,0,Khách hàng thông thường - Chi tiêu trung bình
43,Male,34,10,5,Groceries,833.69,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
48,Other,84,6,41,Electronics,711.37,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
49,Female,26,5,12,Home & Garden,935.73,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
30,Male,12,9,13,Electronics,724.88,0,Khách hàng thông thường - Chi tiêu trung bình
37,Male,71,5,19,Groceries,692.74,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
45,Female,48,8,16,Sports,253.13,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
66,Female,100,6,17,Sports,318.7,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
45,Female,11,9,42,Clothing,422.93,0,Khách hàng thông thường - Chi tiêu trung bình
30,Male,32,1,49,Home & Garden,129.35,1,Khách hàng thông thường - Chi tiêu trung bình
59,Other,79,9,28,Groceries,491.55,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
68,Female,76,7,38,Electronics,363.94,0,Khách hàng thông thường - Chi tiêu trung bình
51,Other,27,9,49,Electronics,990.87,0,Khách hàng thông thường - Chi tiêu trung bình
35,Other,66,4,9,Sports,683.93,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
66,Other,2,10,9,Home & Garden,579.27,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
22,Male,1,10,47,Sports,16.97,1,Khách hàng thông thường - Chi tiêu trung bình
26,Male,78,5,14,Groceries,99.19,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
26,Male,93,1,32,Home & Garden,750.58,1,Khách hàng thông thường - Chi tiêu trung bình
31,Other,36,2,31,Electronics,864.67,1,Khách hàng thông thường - Chi tiêu trung bình
21,Other,41,4,26,Sports,458.93,1,Khách hàng thông thường - Chi tiêu trung bình
53,Other,97,5,50,Sports,917.08,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
22,Female,57,8,27,Home & Garden,139.75,0,Khách hàng thông thường - Chi tiêu trung bình
29,Female,42,5,19,Electronics,967.26,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
60,Male,25,2,40,Clothing,986.97,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
57,Male,57,6,1,Clothing,313.64,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
23,Other,76,10,23,Groceries,632.83,0,Khách hàng thông thường - Chi tiêu trung bình
23,Male,40,5,42,Sports,75.09,1,Khách hàng thông thường - Chi tiêu trung bình
22,Female,63,7,44,Electronics,505.16,0,Khách hàng thông thường - Chi tiêu trung bình
36,Female,7,2,31,Groceries,669.26,1,Khách hàng thông thường - Chi tiêu trung bình
